"id";"date";"amount";"purpose";"counterparty_id";"article_id"
"t570";"2025-06-12";"6810";"Приход в кассу: выручка от реализации за 12.06.2025 (наличный расчёт)";"c2";"a2"
"t571";"2025-06-12";"26140";"Зачисление эквайринга/СБП за 12.06.2025 (терминал №1)";"c3";"a3"
"t572";"2025-06-12";"-16200";"Оплата коммунальных услуг за May 2025";"c12";"a12"
"t573";"2025-06-13";"6020";"Приход в кассу: выручка от реализации за 13.06.2025 (наличный расчёт)";"c2";"a2"
"t574";"2025-06-13";"23190";"Зачисление эквайринга/СБП за 13.06.2025 (терминал №1)";"c3";"a3"
"t575";"2025-06-13";"-9900";"Оплата молочной продукции по счёту №547 от 13.06.2025";"c6";"a6"
"t576";"2025-06-13";"-7800";"Оплата поставки выпечки по накладной №2082 от 13.06.2025";"c4";"a4"
"t577";"2025-06-13";"-12200";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №312";"c11";"a11"
"t578";"2025-06-14";"6460";"Приход в кассу: выручка от реализации за 14.06.2025 (наличный расчёт)";"c2";"a2"
"t579";"2025-06-14";"24920";"Зачисление эквайринга/СБП за 14.06.2025 (терминал №1)";"c3";"a3"
"t580";"2025-06-15";"5400";"Приход в кассу: выручка от реализации за 15.06.2025 (наличный расчёт)";"c2";"a2"
"t581";"2025-06-15";"20870";"Зачисление эквайринга/СБП за 15.06.2025 (терминал №1)";"c3";"a3"
"t582";"2025-06-15";"-8300";"Оплата поставки выпечки по накладной №2083 от 15.06.2025";"c4";"a4"
"t583";"2025-06-15";"-2600";"Абонентская плата за интернет и связь, 06.2025";"c13";"a13"
"t584";"2025-06-16";"4970";"Приход в кассу: выручка от реализации за 16.06.2025 (наличный расчёт)";"c2";"a2"
"t585";"2025-06-16";"19210";"Зачисление эквайринга/СБП за 16.06.2025 (терминал №1)";"c3";"a3"
"t586";"2025-06-17";"4980";"Приход в кассу: выручка от реализации за 17.06.2025 (наличный расчёт)";"c2";"a2"
"t587";"2025-06-17";"19300";"Зачисление эквайринга/СБП за 17.06.2025 (терминал №1)";"c3";"a3"
"t588";"2025-06-17";"-16600";"Оплата поставки кофе в зёрнах по счёту №1024 от 15.06.2025";"c10";"a10"
"t589";"2025-06-17";"-10200";"Оплата молочной продукции по счёту №548 от 17.06.2025";"c6";"a6"
"t590";"2025-06-17";"-8400";"Оплата поставки выпечки по накладной №2084 от 17.06.2025";"c4";"a4"
"t591";"2025-06-18";"4660";"Приход в кассу: выручка от реализации за 18.06.2025 (наличный расчёт)";"c2";"a2"
"t592";"2025-06-18";"18080";"Зачисление эквайринга/СБП за 18.06.2025 (терминал №1)";"c3";"a3"
"t593";"2025-06-19";"4640";"Приход в кассу: выручка от реализации за 19.06.2025 (наличный расчёт)";"c2";"a2"
"t594";"2025-06-19";"18020";"Зачисление эквайринга/СБП за 19.06.2025 (терминал №1)";"c3";"a3"
"t595";"2025-06-19";"-7900";"Оплата поставки выпечки по накладной №2085 от 19.06.2025";"c4";"a4"
"t596";"2025-06-20";"5600";"Приход в кассу: выручка от реализации за 20.06.2025 (наличный расчёт)";"c2";"a2"
"t597";"2025-06-20";"21820";"Зачисление эквайринга/СБП за 20.06.2025 (терминал №1)";"c3";"a3"
"t598";"2025-06-20";"-9000";"Оплата молочной продукции по счёту №549 от 20.06.2025";"c6";"a6"
"t599";"2025-06-20";"-7200";"Продвижение в соцсетях/таргетированная реклама, 06.2025";"c14";"a14"
"t600";"2025-06-21";"6190";"Приход в кассу: выручка от реализации за 21.06.2025 (наличный расчёт)";"c2";"a2"
"t601";"2025-06-21";"24160";"Зачисление эквайринга/СБП за 21.06.2025 (терминал №1)";"c3";"a3"
"t602";"2025-06-21";"-7800";"Оплата поставки выпечки по накладной №2086 от 21.06.2025";"c4";"a4"
"t603";"2025-06-22";"5980";"Приход в кассу: выручка от реализации за 22.06.2025 (наличный расчёт)";"c2";"a2"
"t604";"2025-06-22";"23340";"Зачисление эквайринга/СБП за 22.06.2025 (терминал №1)";"c3";"a3"
"t605";"2025-06-23";"4240";"Приход в кассу: выручка от реализации за 23.06.2025 (наличный расчёт)";"c2";"a2"
"t606";"2025-06-23";"16590";"Зачисление эквайринга/СБП за 23.06.2025 (терминал №1)";"c3";"a3"
"t607";"2025-06-23";"-7600";"Оплата поставки выпечки по накладной №2087 от 23.06.2025";"c4";"a4"
"t608";"2025-06-24";"5380";"Приход в кассу: выручка от реализации за 24.06.2025 (наличный расчёт)";"c2";"a2"
"t609";"2025-06-24";"21100";"Зачисление эквайринга/СБП за 24.06.2025 (терминал №1)";"c3";"a3"
"t610";"2025-06-24";"-17200";"Оплата поставки кофе в зёрнах по счёту №1025 от 22.06.2025";"c10";"a10"
"t611";"2025-06-24";"-9800";"Оплата молочной продукции по счёту №550 от 24.06.2025";"c6";"a6"
"t612";"2025-06-25";"5650";"Приход в кассу: выручка от реализации за 25.06.2025 (наличный расчёт)";"c2";"a2"
"t613";"2025-06-25";"22160";"Зачисление эквайринга/СБП за 25.06.2025 (терминал №1)";"c3";"a3"
"t614";"2025-06-25";"-16800";"Аванс за June 2025";"c15";"a15"
"t615";"2025-06-25";"-16800";"Аванс за June 2025";"c16";"a15"
"t616";"2025-06-25";"-16800";"Аванс за June 2025";"c17";"a15"
"t617";"2025-06-25";"-16800";"Аванс за June 2025";"c18";"a15"
"t618";"2025-06-25";"-8400";"Оплата поставки выпечки по накладной №2088 от 25.06.2025";"c4";"a4"
"t619";"2025-06-25";"-28200";"Выплата (изъятие) прибыли собственнику на личные нужды";"c1";"a20"
"t620";"2025-06-26";"5760";"Приход в кассу: выручка от реализации за 26.06.2025 (наличный расчёт)";"c2";"a2"
"t621";"2025-06-26";"22650";"Зачисление эквайринга/СБП за 26.06.2025 (терминал №1)";"c3";"a3"
"t622";"2025-06-27";"4880";"Приход в кассу: выручка от реализации за 27.06.2025 (наличный расчёт)";"c2";"a2"
"t623";"2025-06-27";"19230";"Зачисление эквайринга/СБП за 27.06.2025 (терминал №1)";"c3";"a3"
"t624";"2025-06-27";"-10400";"Оплата молочной продукции по счёту №551 от 27.06.2025";"c6";"a6"
"t625";"2025-06-27";"-7700";"Оплата поставки выпечки по накладной №2089 от 27.06.2025";"c4";"a4"
"t626";"2025-06-27";"-13800";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №313";"c11";"a11"
"t627";"2025-06-28";"6710";"Приход в кассу: выручка от реализации за 28.06.2025 (наличный расчёт)";"c2";"a2"
"t628";"2025-06-28";"26450";"Зачисление эквайринга/СБП за 28.06.2025 (терминал №1)";"c3";"a3"
"t629";"2025-06-28";"-72600";"Уплата ЕНП: страховые взносы и НДФЛ за May 2025";"c19";"a16"
"t630";"2025-06-29";"6030";"Приход в кассу: выручка от реализации за 29.06.2025 (наличный расчёт)";"c2";"a2"
"t631";"2025-06-29";"23850";"Зачисление эквайринга/СБП за 29.06.2025 (терминал №1)";"c3";"a3"
"t632";"2025-06-29";"-7900";"Оплата поставки выпечки по накладной №2090 от 29.06.2025";"c4";"a4"
"t633";"2025-06-30";"5020";"Приход в кассу: выручка от реализации за 30.06.2025 (наличный расчёт)";"c2";"a2"
"t634";"2025-06-30";"19870";"Зачисление эквайринга/СБП за 30.06.2025 (терминал №1)";"c3";"a3"
"t635";"2025-07-01";"5540";"Приход в кассу: выручка от реализации за 01.07.2025 (наличный расчёт)";"c2";"a2"
"t636";"2025-07-01";"21940";"Зачисление эквайринга/СБП за 01.07.2025 (терминал №1)";"c3";"a3"
"t637";"2025-07-01";"-17200";"Оплата поставки кофе в зёрнах по счёту №1026 от 29.06.2025";"c10";"a10"
"t638";"2025-07-01";"-9200";"Оплата молочной продукции по счёту №552 от 01.07.2025";"c6";"a6"
"t639";"2025-07-01";"-7500";"Оплата поставки выпечки по накладной №2091 от 01.07.2025";"c4";"a4"
"t640";"2025-07-02";"4590";"Приход в кассу: выручка от реализации за 02.07.2025 (наличный расчёт)";"c2";"a2"
"t641";"2025-07-02";"18210";"Зачисление эквайринга/СБП за 02.07.2025 (терминал №1)";"c3";"a3"
"t642";"2025-07-03";"5970";"Приход в кассу: выручка от реализации за 03.07.2025 (наличный расчёт)";"c2";"a2"
"t643";"2025-07-03";"23760";"Зачисление эквайринга/СБП за 03.07.2025 (терминал №1)";"c3";"a3"
"t644";"2025-07-03";"-9000";"Оплата поставки выпечки по накладной №2092 от 03.07.2025";"c4";"a4"
"t645";"2025-07-03";"-3900";"Оплата подписки на кассовое ПО/CRM, 07.2025";"c7";"a7"
"t646";"2025-07-04";"5520";"Приход в кассу: выручка от реализации за 04.07.2025 (наличный расчёт)";"c2";"a2"
"t647";"2025-07-04";"21980";"Зачисление эквайринга/СБП за 04.07.2025 (терминал №1)";"c3";"a3"
"t648";"2025-07-04";"-10600";"Оплата молочной продукции по счёту №553 от 04.07.2025";"c6";"a6"
"t649";"2025-07-04";"-1990";"Абонентская плата за расчётно-кассовое обслуживание, 07.2025";"c8";"a8"
"t650";"2025-07-05";"6340";"Приход в кассу: выручка от реализации за 05.07.2025 (наличный расчёт)";"c2";"a2"
"t651";"2025-07-05";"25300";"Зачисление эквайринга/СБП за 05.07.2025 (терминал №1)";"c3";"a3"
"t652";"2025-07-05";"-108000";"Оплата по договору аренды №14 от 01.02.2024 за 07.2025";"c9";"a9"
"t653";"2025-07-05";"-8900";"Оплата поставки выпечки по накладной №2093 от 05.07.2025";"c4";"a4"
"t654";"2025-07-06";"5930";"Приход в кассу: выручка от реализации за 06.07.2025 (наличный расчёт)";"c2";"a2"
"t655";"2025-07-06";"23730";"Зачисление эквайринга/СБП за 06.07.2025 (терминал №1)";"c3";"a3"
"t656";"2025-07-07";"5140";"Приход в кассу: выручка от реализации за 07.07.2025 (наличный расчёт)";"c2";"a2"
"t657";"2025-07-07";"20570";"Зачисление эквайринга/СБП за 07.07.2025 (терминал №1)";"c3";"a3"
"t658";"2025-07-07";"-8900";"Оплата поставки выпечки по накладной №2094 от 07.07.2025";"c4";"a4"
"t659";"2025-07-08";"4830";"Приход в кассу: выручка от реализации за 08.07.2025 (наличный расчёт)";"c2";"a2"
"t660";"2025-07-08";"19360";"Зачисление эквайринга/СБП за 08.07.2025 (терминал №1)";"c3";"a3"
"t661";"2025-07-08";"-17800";"Оплата поставки кофе в зёрнах по счёту №1027 от 06.07.2025";"c10";"a10"
"t662";"2025-07-08";"-9000";"Оплата молочной продукции по счёту №554 от 08.07.2025";"c6";"a6"
"t663";"2025-07-09";"5610";"Приход в кассу: выручка от реализации за 09.07.2025 (наличный расчёт)";"c2";"a2"
"t664";"2025-07-09";"22520";"Зачисление эквайринга/СБП за 09.07.2025 (терминал №1)";"c3";"a3"
"t665";"2025-07-09";"-8500";"Оплата поставки выпечки по накладной №2095 от 09.07.2025";"c4";"a4"
"t666";"2025-07-10";"6130";"Приход в кассу: выручка от реализации за 10.07.2025 (наличный расчёт)";"c2";"a2"
"t667";"2025-07-10";"24660";"Зачисление эквайринга/СБП за 10.07.2025 (терминал №1)";"c3";"a3"
"t668";"2025-07-10";"-25200";"Заработная плата за June 2025 (окончательный расчёт)";"c15";"a15"
"t669";"2025-07-10";"-25200";"Заработная плата за June 2025 (окончательный расчёт)";"c16";"a15"
"t670";"2025-07-10";"-25200";"Заработная плата за June 2025 (окончательный расчёт)";"c17";"a15"
"t671";"2025-07-10";"-25200";"Заработная плата за June 2025 (окончательный расчёт)";"c18";"a15"
"t672";"2025-07-11";"6290";"Приход в кассу: выручка от реализации за 11.07.2025 (наличный расчёт)";"c2";"a2"
"t673";"2025-07-11";"25370";"Зачисление эквайринга/СБП за 11.07.2025 (терминал №1)";"c3";"a3"
"t674";"2025-07-11";"-10200";"Оплата молочной продукции по счёту №555 от 11.07.2025";"c6";"a6"
"t675";"2025-07-11";"-8100";"Оплата поставки выпечки по накладной №2096 от 11.07.2025";"c4";"a4"
"t676";"2025-07-11";"-12600";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №314";"c11";"a11"
"t677";"2025-07-12";"7330";"Приход в кассу: выручка от реализации за 12.07.2025 (наличный расчёт)";"c2";"a2"
"t678";"2025-07-12";"29610";"Зачисление эквайринга/СБП за 12.07.2025 (терминал №1)";"c3";"a3"
"t679";"2025-07-12";"-16200";"Оплата коммунальных услуг за June 2025";"c12";"a12"
"t680";"2025-07-13";"5710";"Приход в кассу: выручка от реализации за 13.07.2025 (наличный расчёт)";"c2";"a2"
"t681";"2025-07-13";"23120";"Зачисление эквайринга/СБП за 13.07.2025 (терминал №1)";"c3";"a3"
"t682";"2025-07-13";"-8300";"Оплата поставки выпечки по накладной №2097 от 13.07.2025";"c4";"a4"
"t683";"2025-07-14";"5190";"Приход в кассу: выручка от реализации за 14.07.2025 (наличный расчёт)";"c2";"a2"
"t684";"2025-07-14";"21050";"Зачисление эквайринга/СБП за 14.07.2025 (терминал №1)";"c3";"a3"
"t685";"2025-07-15";"5450";"Приход в кассу: выручка от реализации за 15.07.2025 (наличный расчёт)";"c2";"a2"
"t686";"2025-07-15";"22100";"Зачисление эквайринга/СБП за 15.07.2025 (терминал №1)";"c3";"a3"
"t687";"2025-07-15";"-17600";"Оплата поставки кофе в зёрнах по счёту №1028 от 13.07.2025";"c10";"a10"
"t688";"2025-07-15";"-11000";"Оплата молочной продукции по счёту №556 от 15.07.2025";"c6";"a6"
"t689";"2025-07-15";"-9100";"Оплата поставки выпечки по накладной №2098 от 15.07.2025";"c4";"a4"
"t690";"2025-07-15";"-2600";"Абонентская плата за интернет и связь, 07.2025";"c13";"a13"
"t691";"2025-07-16";"4890";"Приход в кассу: выручка от реализации за 16.07.2025 (наличный расчёт)";"c2";"a2"
"t692";"2025-07-16";"19860";"Зачисление эквайринга/СБП за 16.07.2025 (терминал №1)";"c3";"a3"
"t693";"2025-07-17";"5040";"Приход в кассу: выручка от реализации за 17.07.2025 (наличный расчёт)";"c2";"a2"
"t694";"2025-07-17";"20550";"Зачисление эквайринга/СБП за 17.07.2025 (терминал №1)";"c3";"a3"
"t695";"2025-07-17";"-9000";"Оплата поставки выпечки по накладной №2099 от 17.07.2025";"c4";"a4"
"t696";"2025-07-18";"5380";"Приход в кассу: выручка от реализации за 18.07.2025 (наличный расчёт)";"c2";"a2"
"t697";"2025-07-18";"21960";"Зачисление эквайринга/СБП за 18.07.2025 (терминал №1)";"c3";"a3"
"t698";"2025-07-18";"-9900";"Оплата молочной продукции по счёту №557 от 18.07.2025";"c6";"a6"
"t699";"2025-07-19";"6630";"Приход в кассу: выручка от реализации за 19.07.2025 (наличный расчёт)";"c2";"a2"
"t700";"2025-07-19";"27080";"Зачисление эквайринга/СБП за 19.07.2025 (терминал №1)";"c3";"a3"
"t701";"2025-07-19";"-8600";"Оплата поставки выпечки по накладной №2100 от 19.07.2025";"c4";"a4"
"t702";"2025-07-20";"5330";"Приход в кассу: выручка от реализации за 20.07.2025 (наличный расчёт)";"c2";"a2"
"t703";"2025-07-20";"21830";"Зачисление эквайринга/СБП за 20.07.2025 (терминал №1)";"c3";"a3"
"t704";"2025-07-20";"-6600";"Продвижение в соцсетях/таргетированная реклама, 07.2025";"c14";"a14"
"t705";"2025-07-21";"4500";"Приход в кассу: выручка от реализации за 21.07.2025 (наличный расчёт)";"c2";"a2"
"t706";"2025-07-21";"18460";"Зачисление эквайринга/СБП за 21.07.2025 (терминал №1)";"c3";"a3"
"t707";"2025-07-21";"-8800";"Оплата поставки выпечки по накладной №2101 от 21.07.2025";"c4";"a4"
"t708";"2025-07-22";"5530";"Приход в кассу: выручка от реализации за 22.07.2025 (наличный расчёт)";"c2";"a2"
"t709";"2025-07-22";"22730";"Зачисление эквайринга/СБП за 22.07.2025 (терминал №1)";"c3";"a3"
"t710";"2025-07-22";"-17000";"Оплата поставки кофе в зёрнах по счёту №1029 от 20.07.2025";"c10";"a10"
"t711";"2025-07-22";"-11000";"Оплата молочной продукции по счёту №558 от 22.07.2025";"c6";"a6"
"t712";"2025-07-23";"5080";"Приход в кассу: выручка от реализации за 23.07.2025 (наличный расчёт)";"c2";"a2"
"t713";"2025-07-23";"20880";"Зачисление эквайринга/СБП за 23.07.2025 (терминал №1)";"c3";"a3"
"t714";"2025-07-23";"-8000";"Оплата поставки выпечки по накладной №2102 от 23.07.2025";"c4";"a4"
"t715";"2025-07-24";"4860";"Приход в кассу: выручка от реализации за 24.07.2025 (наличный расчёт)";"c2";"a2"
"t716";"2025-07-24";"20040";"Зачисление эквайринга/СБП за 24.07.2025 (терминал №1)";"c3";"a3"
"t717";"2025-07-25";"5940";"Приход в кассу: выручка от реализации за 25.07.2025 (наличный расчёт)";"c2";"a2"
"t718";"2025-07-25";"24520";"Зачисление эквайринга/СБП за 25.07.2025 (терминал №1)";"c3";"a3"
"t719";"2025-07-25";"-16800";"Аванс за July 2025";"c15";"a15"
"t720";"2025-07-25";"-16800";"Аванс за July 2025";"c16";"a15"
"t721";"2025-07-25";"-16800";"Аванс за July 2025";"c17";"a15"
"t722";"2025-07-25";"-16800";"Аванс за July 2025";"c18";"a15"
"t723";"2025-07-25";"-10900";"Оплата молочной продукции по счёту №559 от 25.07.2025";"c6";"a6"
"t724";"2025-07-25";"-8200";"Оплата поставки выпечки по накладной №2103 от 25.07.2025";"c4";"a4"
"t725";"2025-07-25";"-13400";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №315";"c11";"a11"
"t726";"2025-07-25";"-154100";"Уплата авансового платежа по УСН (доходы) за 01.04.2025–30.06.2025";"c19";"a19"
"t727";"2025-07-25";"-39900";"Выплата (изъятие) прибыли собственнику на личные нужды";"c1";"a20"
"t728";"2025-07-26";"6380";"Приход в кассу: выручка от реализации за 26.07.2025 (наличный расчёт)";"c2";"a2"
"t729";"2025-07-26";"26380";"Зачисление эквайринга/СБП за 26.07.2025 (терминал №1)";"c3";"a3"
"t730";"2025-07-27";"5640";"Приход в кассу: выручка от реализации за 27.07.2025 (наличный расчёт)";"c2";"a2"
"t731";"2025-07-27";"23370";"Зачисление эквайринга/СБП за 27.07.2025 (терминал №1)";"c3";"a3"
"t732";"2025-07-27";"-7800";"Оплата поставки выпечки по накладной №2104 от 27.07.2025";"c4";"a4"
"t733";"2025-07-28";"4130";"Приход в кассу: выручка от реализации за 28.07.2025 (наличный расчёт)";"c2";"a2"
"t734";"2025-07-28";"17160";"Зачисление эквайринга/СБП за 28.07.2025 (терминал №1)";"c3";"a3"
"t735";"2025-07-28";"-72600";"Уплата ЕНП: страховые взносы и НДФЛ за June 2025";"c19";"a16"
"t736";"2025-07-29";"5000";"Приход в кассу: выручка от реализации за 29.07.2025 (наличный расчёт)";"c2";"a2"
"t737";"2025-07-29";"20790";"Зачисление эквайринга/СБП за 29.07.2025 (терминал №1)";"c3";"a3"
"t738";"2025-07-29";"-18100";"Оплата поставки кофе в зёрнах по счёту №1030 от 27.07.2025";"c10";"a10"
"t739";"2025-07-29";"-10100";"Оплата молочной продукции по счёту №560 от 29.07.2025";"c6";"a6"
"t740";"2025-07-29";"-8200";"Оплата поставки выпечки по накладной №2105 от 29.07.2025";"c4";"a4"
"t741";"2025-07-30";"4860";"Приход в кассу: выручка от реализации за 30.07.2025 (наличный расчёт)";"c2";"a2"
"t742";"2025-07-30";"20220";"Зачисление эквайринга/СБП за 30.07.2025 (терминал №1)";"c3";"a3"
"t743";"2025-07-31";"5710";"Приход в кассу: выручка от реализации за 31.07.2025 (наличный расчёт)";"c2";"a2"
"t744";"2025-07-31";"23810";"Зачисление эквайринга/СБП за 31.07.2025 (терминал №1)";"c3";"a3"
"t745";"2025-07-31";"-8800";"Оплата поставки выпечки по накладной №2106 от 31.07.2025";"c4";"a4"
"t746";"2025-07-31";"-9500";"Ремонт и техническое обслуживание кофемашины/кофемолки";"c20";"a17"
"t747";"2025-08-01";"4910";"Приход в кассу: выручка от реализации за 01.08.2025 (наличный расчёт)";"c2";"a2"
"t748";"2025-08-01";"20540";"Зачисление эквайринга/СБП за 01.08.2025 (терминал №1)";"c3";"a3"
"t749";"2025-08-01";"-9600";"Оплата молочной продукции по счёту №561 от 01.08.2025";"c6";"a6"
"t750";"2025-08-02";"5670";"Приход в кассу: выручка от реализации за 02.08.2025 (наличный расчёт)";"c2";"a2"
"t751";"2025-08-02";"23730";"Зачисление эквайринга/СБП за 02.08.2025 (терминал №1)";"c3";"a3"
"t752";"2025-08-02";"-8300";"Оплата поставки выпечки по накладной №2107 от 02.08.2025";"c4";"a4"
"t753";"2025-08-03";"5610";"Приход в кассу: выручка от реализации за 03.08.2025 (наличный расчёт)";"c2";"a2"
"t754";"2025-08-03";"23540";"Зачисление эквайринга/СБП за 03.08.2025 (терминал №1)";"c3";"a3"
"t755";"2025-08-03";"-3900";"Оплата подписки на кассовое ПО/CRM, 08.2025";"c7";"a7"
"t756";"2025-08-04";"5050";"Приход в кассу: выручка от реализации за 04.08.2025 (наличный расчёт)";"c2";"a2"
"t757";"2025-08-04";"21200";"Зачисление эквайринга/СБП за 04.08.2025 (терминал №1)";"c3";"a3"
"t758";"2025-08-04";"-9000";"Оплата поставки выпечки по накладной №2108 от 04.08.2025";"c4";"a4"
"t759";"2025-08-04";"-1990";"Абонентская плата за расчётно-кассовое обслуживание, 08.2025";"c8";"a8"
"t760";"2025-08-05";"5210";"Приход в кассу: выручка от реализации за 05.08.2025 (наличный расчёт)";"c2";"a2"
"t761";"2025-08-05";"21910";"Зачисление эквайринга/СБП за 05.08.2025 (терминал №1)";"c3";"a3"
"t762";"2025-08-05";"-108000";"Оплата по договору аренды №14 от 01.02.2024 за 08.2025";"c9";"a9"
"t763";"2025-08-05";"-16600";"Оплата поставки кофе в зёрнах по счёту №1031 от 03.08.2025";"c10";"a10"
"t764";"2025-08-05";"-11200";"Оплата молочной продукции по счёту №562 от 05.08.2025";"c6";"a6"
"t765";"2025-08-06";"4850";"Приход в кассу: выручка от реализации за 06.08.2025 (наличный расчёт)";"c2";"a2"
"t766";"2025-08-06";"20460";"Зачисление эквайринга/СБП за 06.08.2025 (терминал №1)";"c3";"a3"
"t767";"2025-08-06";"-8100";"Оплата поставки выпечки по накладной №2109 от 06.08.2025";"c4";"a4"
"t768";"2025-08-07";"4830";"Приход в кассу: выручка от реализации за 07.08.2025 (наличный расчёт)";"c2";"a2"
"t769";"2025-08-07";"20400";"Зачисление эквайринга/СБП за 07.08.2025 (терминал №1)";"c3";"a3"
"t770";"2025-08-08";"5900";"Приход в кассу: выручка от реализации за 08.08.2025 (наличный расчёт)";"c2";"a2"
"t771";"2025-08-08";"24930";"Зачисление эквайринга/СБП за 08.08.2025 (терминал №1)";"c3";"a3"
"t772";"2025-08-08";"-9900";"Оплата молочной продукции по счёту №563 от 08.08.2025";"c6";"a6"
"t773";"2025-08-08";"-8800";"Оплата поставки выпечки по накладной №2110 от 08.08.2025";"c4";"a4"
"t774";"2025-08-08";"-13400";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №316";"c11";"a11"
"t775";"2025-08-09";"6090";"Приход в кассу: выручка от реализации за 09.08.2025 (наличный расчёт)";"c2";"a2"
"t776";"2025-08-09";"25810";"Зачисление эквайринга/СБП за 09.08.2025 (терминал №1)";"c3";"a3"
"t777";"2025-08-10";"5840";"Приход в кассу: выручка от реализации за 10.08.2025 (наличный расчёт)";"c2";"a2"
"t778";"2025-08-10";"24770";"Зачисление эквайринга/СБП за 10.08.2025 (терминал №1)";"c3";"a3"
"t779";"2025-08-10";"-25200";"Заработная плата за July 2025 (окончательный расчёт)";"c15";"a15"
"t780";"2025-08-10";"-25200";"Заработная плата за July 2025 (окончательный расчёт)";"c16";"a15"
"t781";"2025-08-10";"-25200";"Заработная плата за July 2025 (окончательный расчёт)";"c17";"a15"
"t782";"2025-08-10";"-25200";"Заработная плата за July 2025 (окончательный расчёт)";"c18";"a15"
"t783";"2025-08-10";"-8900";"Оплата поставки выпечки по накладной №2111 от 10.08.2025";"c4";"a4"
"t784";"2025-08-11";"4510";"Приход в кассу: выручка от реализации за 11.08.2025 (наличный расчёт)";"c2";"a2"
"t785";"2025-08-11";"19180";"Зачисление эквайринга/СБП за 11.08.2025 (терминал №1)";"c3";"a3"
"t786";"2025-08-12";"5130";"Приход в кассу: выручка от реализации за 12.08.2025 (наличный расчёт)";"c2";"a2"
"t787";"2025-08-12";"21850";"Зачисление эквайринга/СБП за 12.08.2025 (терминал №1)";"c3";"a3"
"t788";"2025-08-12";"-19600";"Оплата поставки кофе в зёрнах по счёту №1032 от 10.08.2025";"c10";"a10"
"t789";"2025-08-12";"-10600";"Оплата молочной продукции по счёту №564 от 12.08.2025";"c6";"a6"
"t790";"2025-08-12";"-9100";"Оплата поставки выпечки по накладной №2112 от 12.08.2025";"c4";"a4"
"t791";"2025-08-12";"-16400";"Оплата коммунальных услуг за July 2025";"c12";"a12"
"t792";"2025-08-13";"5140";"Приход в кассу: выручка от реализации за 13.08.2025 (наличный расчёт)";"c2";"a2"
"t793";"2025-08-13";"21950";"Зачисление эквайринга/СБП за 13.08.2025 (терминал №1)";"c3";"a3"
"t794";"2025-08-14";"5730";"Приход в кассу: выручка от реализации за 14.08.2025 (наличный расчёт)";"c2";"a2"
"t795";"2025-08-14";"24490";"Зачисление эквайринга/СБП за 14.08.2025 (терминал №1)";"c3";"a3"
"t796";"2025-08-14";"-8600";"Оплата поставки выпечки по накладной №2113 от 14.08.2025";"c4";"a4"
"t797";"2025-08-15";"6310";"Приход в кассу: выручка от реализации за 15.08.2025 (наличный расчёт)";"c2";"a2"
"t798";"2025-08-15";"27000";"Зачисление эквайринга/СБП за 15.08.2025 (терминал №1)";"c3";"a3"
"t799";"2025-08-15";"-11100";"Оплата молочной продукции по счёту №565 от 15.08.2025";"c6";"a6"
"t800";"2025-08-15";"-2600";"Абонентская плата за интернет и связь, 08.2025";"c13";"a13"
"t801";"2025-08-16";"5810";"Приход в кассу: выручка от реализации за 16.08.2025 (наличный расчёт)";"c2";"a2"
"t802";"2025-08-16";"24920";"Зачисление эквайринга/СБП за 16.08.2025 (терминал №1)";"c3";"a3"
"t803";"2025-08-16";"-9200";"Оплата поставки выпечки по накладной №2114 от 16.08.2025";"c4";"a4"
"t804";"2025-08-17";"4720";"Приход в кассу: выручка от реализации за 17.08.2025 (наличный расчёт)";"c2";"a2"
"t805";"2025-08-17";"20280";"Зачисление эквайринга/СБП за 17.08.2025 (терминал №1)";"c3";"a3"
"t806";"2025-08-18";"4190";"Приход в кассу: выручка от реализации за 18.08.2025 (наличный расчёт)";"c2";"a2"
"t807";"2025-08-18";"18050";"Зачисление эквайринга/СБП за 18.08.2025 (терминал №1)";"c3";"a3"
"t808";"2025-08-18";"-8600";"Оплата поставки выпечки по накладной №2115 от 18.08.2025";"c4";"a4"
"t809";"2025-08-19";"4660";"Приход в кассу: выручка от реализации за 19.08.2025 (наличный расчёт)";"c2";"a2"
"t810";"2025-08-19";"20080";"Зачисление эквайринга/СБП за 19.08.2025 (терминал №1)";"c3";"a3"
"t811";"2025-08-19";"-18800";"Оплата поставки кофе в зёрнах по счёту №1033 от 17.08.2025";"c10";"a10"
"t812";"2025-08-19";"-9500";"Оплата молочной продукции по счёту №566 от 19.08.2025";"c6";"a6"
"t813";"2025-08-20";"5340";"Приход в кассу: выручка от реализации за 20.08.2025 (наличный расчёт)";"c2";"a2"
"t814";"2025-08-20";"23080";"Зачисление эквайринга/СБП за 20.08.2025 (терминал №1)";"c3";"a3"
"t815";"2025-08-20";"-7900";"Оплата поставки выпечки по накладной №2116 от 20.08.2025";"c4";"a4"
"t816";"2025-08-20";"-9900";"Продвижение в соцсетях/таргетированная реклама, 08.2025";"c14";"a14"
"t817";"2025-08-21";"5890";"Приход в кассу: выручка от реализации за 21.08.2025 (наличный расчёт)";"c2";"a2"
